age,depth,d18o,error
19160,1707.08,-42.75,406
19180,1707.55,-41.38,407
19200,1708.02,-43.74,407
19220,1708.4,-42.52,408
19240,1708.82,-40.54,410
19260,1709.27,-43.75,410
19280,1709.72,-41.23,411
19300,1710.14,-42.72,412
19320,1710.58,-40.42,413
19340,1711.04,-41.28,414
19360,1711.47,-41.68,414
19380,1711.88,-41.75,415
19400,1712.33,-42.86,416
19420,1712.79,-43.07,418
19440,1713.29,-42.36,419
19460,1713.72,-40.85,420
19480,1714.18,-41.35,421
19500,1714.61,-42.17,422
19520,1715.1,-41.37,422
19540,1715.54,-42.65,424
19560,1716.03,-40.93,425
19580,1716.53,-42.56,425
19600,1716.99,-40.46,426
19620,1717.4,-40.83,427
19640,1717.83,-40.89,428
19660,1718.29,-41.84,428
19680,1718.67,-39.93,430
19700,1719.11,-41.5,431
19720,1719.51,-42.05,432
19740,1719.89,-41.43,433
19760,1720.28,-41.4,434
19780,1720.73,-41.63,434
19800,1721.17,-42.8,434
19820,1721.64,-43.02,436
19840,1722.09,-41.4,438
19860,1722.54,-40.22,438
19880,1723.03,-40.69,438
19900,1723.44,-41.43,439
19920,1723.9,-40.66,440
19940,1724.34,-41.6,441
19960,1724.81,-42.62,442
19980,1725.24,-42.14,443
20000,1725.63,-42.66,444
20020,1726.07,-41.97,445
20040,1726.48,-41.69,445
20060,1726.96,-42.76,446
20080,1727.42,-42.71,446
20100,1727.81,-41.33,447
20120,1728.24,-42.68,447
20140,1728.67,-42.01,448
20160,1729.12,-42.6,449
20180,1729.56,-42.19,450
20200,1730.04,-42.79,452
20220,1730.55,-40.37,452
20240,1731,-41.4,452
20260,1731.47,-42.46,453
20280,1731.96,-42.54,453
20300,1732.41,-41.92,454
20320,1732.92,-42.38,457
20340,1733.32,-43.13,458
20360,1733.76,-41.86,459
20380,1734.14,-43.12,460
20400,1734.57,-44.51,460
20420,1735.04,-42.45,461
20440,1735.43,-43.21,462
20460,1735.82,-43.52,463
20480,1736.26,-42.04,463
20500,1736.75,-41.92,463
20520,1737.16,-43.2,465
20540,1737.61,-43.36,465
20560,1738.09,-44.97,465
20580,1738.51,-42.52,466
20600,1738.97,-42.06,467
20620,1739.44,-41.89,469
20640,1739.86,-42.42,471
20660,1740.31,-40.62,472
20680,1740.77,-40.09,472
20700,1741.14,-43.6,473
20720,1741.54,-42.12,474
20740,1741.97,-39.93,474
20760,1742.43,-42.75,476
20780,1742.87,-42.39,476
20800,1743.32,-42.98,476
20820,1743.7,-40.72,477
20840,1744.13,-43.35,477
20860,1744.54,-42.55,478
20880,1744.94,-42.08,481
20900,1745.31,-43.27,482
20920,1745.74,-42.27,484
20940,1746.13,-43.93,485
20960,1746.52,-42.95,486
20980,1746.92,-43.09,487
21000,1747.3,-44.85,488
21020,1747.68,-43.5,489
21040,1748.07,-42.52,490
21060,1748.43,-42.26,492
21080,1748.81,-43.68,494
21100,1749.18,-43.31,495
21120,1749.54,-42.63,496
21140,1749.92,-41.83,496
21160,1750.29,-42.08,497
21180,1750.69,-41.92,499
21200,1751.11,-43.89,499
21220,1751.5,-42.88,500
21240,1751.91,-43.91,501
21260,1752.32,-42.58,502
21280,1752.71,-42.68,503
21300,1753.09,-41.02,503
21320,1753.45,-41.96,504
21340,1753.85,-42.42,505
21360,1754.28,-43.83,505
21380,1754.64,-42.06,507
21400,1755,-42.52,508
21420,1755.37,-43.75,509
21440,1755.75,-41.22,511
21460,1756.14,-42.34,511
21480,1756.55,-43.06,513
21500,1756.9,-44.58,513
21520,1757.26,-41.88,513
21540,1757.68,-42.04,514
21560,1758.04,-42.86,515
21580,1758.4,-42.1,515
21600,1758.76,-41.02,517
21620,1759.18,-42.87,518
21640,1759.55,-41.93,519
21660,1759.91,-43.4,520
21680,1760.26,-42.04,520
21700,1760.62,-41.6,521
21720,1761.02,-44.16,522
21740,1761.43,-43.94,523
21760,1761.8,-42.49,524
21780,1762.17,-43.68,525
21800,1762.53,-43.51,527
21820,1762.91,-43.1,528
21840,1763.29,-42.76,528
21860,1763.67,-43.59,529
21880,1764.07,-43.13,529
21900,1764.45,-41.36,530
21920,1764.86,-41.9,530
21940,1765.26,-42.24,531
21960,1765.62,-42.45,531
21980,1765.99,-42.68,531
22000,1766.36,-42.6,532
22020,1766.71,-42.55,532
22040,1767.07,-41.88,533
22060,1767.43,-40.51,534
22080,1767.79,-43.27,536
22100,1768.18,-40.99,536
22120,1768.5,-43.28,537
22140,1768.89,-42.03,538
22160,1769.23,-41,539
22180,1769.61,-42.17,540
22200,1770,-41.51,541
22220,1770.39,-41.53,542
22240,1770.73,-41.15,544
22260,1771.13,-41.44,545
22280,1771.49,-42.32,547
22300,1771.81,-42.41,547
22320,1772.21,-43.05,548
22340,1772.58,-42.69,548
22360,1772.95,-41.05,548
22380,1773.33,-43.67,549
22400,1773.74,-42.38,551
22420,1774.12,-43.47,551
22440,1774.53,-42.36,552
22460,1774.91,-42.51,553
22480,1775.33,-41.82,553
22500,1775.76,-42,554
22520,1776.15,-43.97,556
22540,1776.59,-43.04,557
22560,1776.96,-42.77,558
22580,1777.33,-42.05,560
22600,1777.75,-42.34,561
22620,1778.12,-41.7,563
22640,1778.51,-42.74,563
22660,1778.9,-42.96,563
22680,1779.27,-43.02,564
22700,1779.66,-43.31,564
22720,1780.04,-42.72,565
22740,1780.48,-40.56,566
22760,1780.91,-40.83,567
22780,1781.31,-40.19,568
22800,1781.74,-42.56,568
22820,1782.12,-41.26,570
22840,1782.46,-42.21,570
22860,1782.84,-41.82,571
22880,1783.24,-43.69,572
22900,1783.62,-42.37,573
22920,1784.03,-41.04,575
22940,1784.47,-42.02,577
22960,1784.96,-40.35,579
22980,1785.42,-41.31,580
23000,1785.85,-41.83,582
23020,1786.28,-42.79,583
23040,1786.65,-42.06,585
23060,1787.07,-41.94,585
23080,1787.52,-42.18,585
23100,1787.94,-43.6,586
23120,1788.31,-43.04,587
23140,1788.78,-42.03,588
23160,1789.21,-41.85,589
23180,1789.59,-42.78,589
23200,1789.92,-41.48,590
23220,1790.26,-41.17,590
23240,1790.68,-41.93,591
23260,1791.16,-41.22,592
23280,1791.63,-40.28,593
23300,1792.16,-39.11,594
23320,1792.62,-40.34,595
23340,1793.19,-40.04,596
23360,1793.69,-41.21,597
23380,1794.08,-42.47,598
23400,1794.49,-42.83,599
23420,1794.88,-44.36,599
23440,1795.27,-42.78,600
23460,1795.64,-42.41,602
23480,1795.98,-41.87,605
23500,1796.35,-42.04,607
23520,1796.72,-44.64,608
23540,1797.07,-44.12,609
23560,1797.36,-44.64,610
23580,1797.67,-44.25,610
23600,1798.03,-41.8,611
23620,1798.4,-44.75,612
23640,1798.71,-44.64,614
23660,1799.03,-42.81,615
23680,1799.34,-43.13,617
23700,1799.67,-44.55,618
23720,1799.97,-45.29,621
23740,1800.31,-43.41,621
23760,1800.63,-41.51,624
23780,1800.95,-44.11,625
23800,1801.27,-43.95,625
23820,1801.58,-43.84,626
23840,1801.91,-44.14,626
23860,1802.21,-44.13,628
23880,1802.53,-43.66,630
23900,1802.85,-43.11,632
23920,1803.16,-43.53,633
23940,1803.47,-42.93,633
23960,1803.77,-44.44,634
23980,1804.06,-43.86,635
24000,1804.35,-40.99,636
24020,1804.66,-42.65,638
24040,1804.94,-42.48,639
24060,1805.23,-44.11,640
24080,1805.56,-44.03,641
24100,1805.87,-44.24,642
24120,1806.18,-42.92,643
24140,1806.49,-44.3,644
24160,1806.81,-43.05,644
24180,1807.09,-44.18,645
24200,1807.4,-42.27,646
24220,1807.74,-44.34,647
24240,1808.04,-44.51,649
24260,1808.39,-44.33,652
24280,1808.74,-43.6,653
24300,1809.03,-43.86,654
24320,1809.4,-41.79,655
24340,1809.73,-43.65,656
24360,1810.05,-43.11,657
24380,1810.36,-44.07,658
24400,1810.72,-43.88,658
24420,1811.06,-44.29,660
24440,1811.35,-42.3,662
24460,1811.69,-42.04,663
24480,1812.02,-44.64,664
24500,1812.37,-43.01,665
24520,1812.7,-42.93,665
24540,1813,-43.63,667
24560,1813.28,-43.8,668
24580,1813.57,-42.72,669
24600,1813.89,-42.02,670
24620,1814.19,-43.29,671
24640,1814.49,-42.78,672
24660,1814.79,-45.76,674
24680,1815.08,-43.64,675
24700,1815.37,-44.79,675
24720,1815.69,-42.48,675
24740,1815.96,-42.71,677
24760,1816.3,-43.02,679
24780,1816.6,-44.34,680
24800,1816.88,-43.24,680
24820,1817.14,-45.27,681
24840,1817.46,-44.28,681
24860,1817.77,-43.69,682
24880,1818.11,-44.14,682
24900,1818.47,-44.93,683
24920,1818.79,-44.77,684
24940,1819.1,-43.33,685
24960,1819.44,-41.88,686
24980,1819.76,-43.23,688
25000,1820.06,-42.66,690
25020,1820.43,-42.41,691
25040,1820.78,-43.54,693
25060,1821.11,-42.71,693
25080,1821.43,-43.66,694
25100,1821.76,-44.35,696
25120,1822.06,-44.14,697
25140,1822.38,-44.35,699
25160,1822.72,-43.05,700
25180,1823,-42.74,701
25200,1823.29,-43.11,701
25220,1823.58,-43.42,702
25240,1823.88,-42.35,702
25260,1824.16,-44.12,702
25280,1824.46,-43.08,704
25300,1824.74,-43.91,705
25320,1825.03,-43.14,706
25340,1825.33,-44.02,708
25360,1825.67,-43.4,710
25380,1826,-42.2,711
25400,1826.28,-43.45,712
25420,1826.6,-43.65,714
25440,1826.9,-45.14,715
25460,1827.2,-44.36,717
25480,1827.49,-45.3,718
25500,1827.78,-44.09,719
25520,1828.07,-42.41,720
25540,1828.35,-41.35,722
25560,1828.63,-42.65,723
25580,1828.94,-45.02,725
25600,1829.24,-43.6,726
25620,1829.53,-43.17,727
25640,1829.85,-43,729
25660,1830.13,-44.91,732
25680,1830.42,-44.45,732
25700,1830.71,-46.11,733
25720,1830.99,-43.74,734
25740,1831.29,-43.94,734
25760,1831.59,-45.14,735
25780,1831.89,-43.34,736
25800,1832.19,-43.46,737
25820,1832.5,-44.1,738
25840,1832.79,-43.96,738
25860,1833.09,-45.11,739
25880,1833.36,-44.4,741
25900,1833.64,-44.55,741
25920,1833.94,-44.51,741
25940,1834.25,-42.56,744
25960,1834.53,-43.2,745
25980,1834.82,-44.36,746
26000,1835.12,-42.59,747
26020,1835.45,-44.19,749
26040,1835.79,-45.64,751
26060,1836.17,-43.37,751
26080,1836.53,-42.39,751
26100,1836.83,-43.78,752
26120,1837.15,-41.93,753
26140,1837.5,-44.14,754
26160,1837.87,-42.56,754
26180,1838.25,-42.46,755
26200,1838.64,-41.67,756
26220,1839.03,-43.1,757
26240,1839.46,-42.19,759
26260,1839.83,-44.16,759
26280,1840.19,-43.22,760
26300,1840.56,-42.92,760
26320,1840.92,-43.21,761
26340,1841.29,-42.18,762
26360,1841.65,-42.76,762
26380,1841.99,-42.87,763
26400,1842.33,-41.74,764
26420,1842.67,-42.75,765
26440,1842.98,-42.85,766
26460,1843.36,-43.4,766
26480,1843.74,-43.25,767
26500,1844.13,-42.75,768
26520,1844.47,-44.69,768
26540,1844.76,-44.44,768
26560,1845.05,-46.5,769
26580,1845.36,-45.54,771
26600,1845.72,-43.31,772
26620,1846.02,-43.22,773
26640,1846.33,-44.2,775
26660,1846.66,-43.05,775
26680,1847,-43.1,777
26700,1847.34,-43.63,777
26720,1847.66,-43.09,778
26740,1848,-43.5,780
26760,1848.3,-44.54,782
26780,1848.67,-43.78,784
26800,1849.04,-44.37,785
26820,1849.36,-44.73,786
26840,1849.71,-42.85,787
26860,1850.04,-42.83,789
26880,1850.39,-44.65,790
26900,1850.74,-43.44,791
26920,1851.08,-43.13,791
26940,1851.42,-44.22,794
26960,1851.79,-43.1,794
26980,1852.17,-41.77,795
27000,1852.51,-43.73,795
27020,1852.83,-43.44,795
27040,1853.15,-44,797
27060,1853.49,-44.59,798
27080,1853.86,-43.95,798
27100,1854.21,-42.86,798
27120,1854.57,-42.44,799
27140,1854.91,-41.29,800
27160,1855.2,-44.38,801
27180,1855.52,-41.8,802
27200,1855.84,-43.26,804
27220,1856.18,-43.39,804
27240,1856.5,-43.19,804
27260,1856.86,-43.21,805
27280,1857.23,-43.05,805
27300,1857.56,-43.45,805
27320,1857.91,-43.13,806
27340,1858.23,-44.58,808
27360,1858.56,-43.26,810
27380,1858.9,-44.36,811
27400,1859.24,-43.64,813
27420,1859.58,-44.89,814
27440,1859.93,-44.91,815
27460,1860.22,-43.95,816
27480,1860.53,-44.47,818
27500,1860.88,-42.95,819
27520,1861.22,-42.51,820
27540,1861.69,-43.01,822
27560,1862.24,-41.71,822
27580,1862.75,-41.07,823
27600,1863.36,-40.93,823
27620,1863.95,-40.98,825
27640,1864.58,-39.39,825
27660,1865.24,-39.42,826
27680,1865.79,-40.29,827
27700,1866.38,-40.41,827
27720,1867.03,-38.84,828
27740,1867.72,-38.22,829
27760,1868.43,-38.37,831
27780,1869.12,-39.46,832
27800,1869.6,-43.8,833
27820,1869.9,-43.26,835
27840,1870.19,-44.26,836
27860,1870.54,-44.15,838
27880,1870.85,-41.95,840
27900,1871.17,-44.87,841
27920,1871.49,-44.54,843
27940,1871.82,-43.23,845
27960,1872.12,-43.67,847
27980,1872.5,-43.86,849
28000,1872.81,-44.03,850
28020,1873.14,-45,851
28040,1873.46,-44.97,853
28060,1873.77,-44,855
28080,1874.1,-44.8,856
28100,1874.39,-44.92,858
28120,1874.69,-43.77,860
28140,1874.97,-43.94,862
28160,1875.29,-43.08,863
28180,1875.58,-46.28,865
28200,1875.9,-43.68,865
28220,1876.19,-43.65,867
28240,1876.5,-44.78,870
28260,1876.84,-44.58,871
28280,1877.13,-44.91,873
28300,1877.47,-43.64,876
28320,1877.79,-42.04,877
28340,1878.1,-45.54,878
28360,1878.44,-44.62,879
28380,1878.75,-42.71,880
28400,1879.09,-44.9,880
28420,1879.38,-42.91,880
28440,1879.75,-43.38,881
28460,1880.12,-44.1,881
28480,1880.45,-44.35,882
28500,1880.75,-45.03,883
28520,1881.1,-43.34,884
28540,1881.49,-42.38,885
28560,1881.84,-43.96,885
28580,1882.19,-43.12,886
28600,1882.62,-42.98,887
28620,1883.1,-40.88,888
28640,1883.62,-40.77,888
28660,1884.17,-40.52,889
28680,1884.75,-40.21,889
28700,1885.38,-40.17,890
28720,1885.91,-41.1,890
28740,1886.57,-40.14,891
28760,1887.16,-40.78,893
28780,1887.77,-40.49,893
28800,1888.47,-38.62,894
28820,1889.11,-39.1,895
28840,1889.79,-39.6,896
28860,1890.48,-40.05,896
28880,1891.07,-40.01,897
28900,1891.57,-42.08,898
28920,1891.96,-43.87,898
28940,1892.31,-43.58,900
28960,1892.65,-43.1,901
28980,1892.95,-43.32,901
29000,1893.28,-45.38,901
29020,1893.6,-44.58,903
29040,1893.92,-44,905
29060,1894.23,-43.34,905
29080,1894.52,-43.85,907
29100,1894.79,-45.15,909
29120,1895.08,-43.98,911
29140,1895.35,-44.89,912
29160,1895.64,-42.89,913
29180,1895.93,-43.79,914
29200,1896.2,-45.31,915
29220,1896.5,-43.82,917
29240,1896.78,-42.86,918
29260,1897.05,-45.81,918
29280,1897.32,-44.05,919
29300,1897.63,-43.67,919
29320,1897.89,-44.52,920
29340,1898.2,-42.8,921
29360,1898.48,-44.88,923
29380,1898.78,-43.81,923
29400,1899.08,-43.22,924
29420,1899.35,-43.34,926
29440,1899.61,-43.94,926
29460,1899.9,-45.35,927
29480,1900.16,-44.63,928
29500,1900.4,-43.92,930
29520,1900.64,-46.36,932
29540,1900.91,-44.45,933
29560,1901.16,-44.09,935
29580,1901.46,-44.61,937
29600,1901.78,-45.84,938
29620,1902.06,-46.22,940
29640,1902.34,-44.46,943
29660,1902.6,-43.01,945
29680,1902.87,-44.9,946
29700,1903.16,-46.45,948
29720,1903.42,-44.21,950
29740,1903.67,-46.14,953
29760,1903.98,-44.54,954
29780,1904.27,-44.42,956
29800,1904.57,-43.57,958
29820,1904.85,-44.05,959
29840,1905.12,-45.18,960
29860,1905.42,-44.54,961
29880,1905.74,-43.74,963
29900,1906.01,-44.68,965
29920,1906.28,-44.48,966
29940,1906.58,-43.72,967
29960,1906.89,-44.63,968
29980,1907.22,-44.08,969
30000,1907.54,-42.98,971
30020,1907.8,-43.67,973
30040,1908.09,-45.52,973
30060,1908.37,-45.7,975
30080,1908.67,-43.85,977
30100,1908.95,-44.95,977
30120,1909.22,-46.25,979
30140,1909.5,-44.21,980
30160,1909.77,-45.03,981
30180,1910.09,-44.59,982
30200,1910.36,-43.06,983
30220,1910.63,-45.43,984
30240,1910.92,-44.55,986
30260,1911.19,-44.65,987
30280,1911.46,-45.24,989
30300,1911.72,-44.76,990
30320,1912.04,-44.87,991
30340,1912.33,-43.49,992
30360,1912.6,-44.28,993
30380,1912.87,-42.29,994
30400,1913.19,-43.97,995
30420,1913.44,-44.73,996
30440,1913.69,-44.93,999
30460,1913.92,-45.24,999
30480,1914.17,-44.77,999
30500,1914.48,-43.95,1000
30520,1914.78,-43.47,1002
30540,1915.13,-43.49,1004
30560,1915.41,-44.21,1006
30580,1915.75,-42.71,1007
30600,1916.08,-44.22,1008
30620,1916.43,-43.29,1009
30640,1916.77,-43.8,1011
30660,1917.12,-41.58,1012
30680,1917.45,-42.44,1013
30700,1917.81,-43.39,1016
30720,1918.23,-42.22,1018
30740,1918.67,-42.69,1019
30760,1919.11,-42.05,1021
30780,1919.47,-42.01,1022
30800,1919.83,-44.03,1023
30820,1920.21,-45.08,1023
30840,1920.56,-42.83,1024
30860,1920.91,-43.9,1025
30880,1921.27,-42.45,1027
30900,1921.61,-43.19,1029
30920,1921.94,-43.76,1032
30940,1922.22,-44.79,1034
30960,1922.53,-45.37,1036
30980,1922.87,-43.42,1036
31000,1923.16,-44.4,1038
31020,1923.46,-42.99,1038
31040,1923.78,-44.97,1039
31060,1924.13,-41.75,1041
31080,1924.46,-44.27,1042
31100,1924.78,-44.2,1043
31120,1925.11,-44.13,1045
31140,1925.45,-43.08,1047
31160,1925.78,-43.57,1048
31180,1926.08,-42.73,1049
31200,1926.36,-45.16,1049
31220,1926.63,-43.7,1051
31240,1926.96,-44.25,1053
31260,1927.32,-44.18,1054
31280,1927.64,-43.7,1055
31300,1927.94,-43.97,1057
31320,1928.25,-42.79,1059
31340,1928.56,-43.63,1061
31360,1928.83,-43.67,1063
31380,1929.15,-44.36,1064
31400,1929.45,-45.2,1065
31420,1929.77,-43.57,1066
31440,1930.07,-43.09,1067
31460,1930.35,-44.57,1069
31480,1930.66,-41.65,1070
31500,1930.96,-43.28,1072
31520,1931.24,-45.39,1073
31540,1931.55,-43.86,1074
31560,1931.85,-43.37,1076
31580,1932.15,-44.74,1078
31600,1932.51,-43.33,1080
31620,1932.83,-43.98,1081
31640,1933.15,-44.19,1084
31660,1933.48,-43.69,1085
31680,1933.8,-44.29,1089
31700,1934.11,-43.64,1089
31720,1934.47,-43.2,1089
31740,1934.8,-42.67,1091
31760,1935.12,-43.16,1092
31780,1935.46,-45.06,1092
31800,1935.79,-43.26,1094
31820,1936.11,-43.37,1095
31840,1936.42,-43.5,1096
31860,1936.74,-45.22,1098
31880,1937.04,-42.81,1099
31900,1937.36,-44.89,1100
31920,1937.65,-42.76,1101
31940,1937.97,-44.23,1101
31960,1938.28,-43.48,1103
31980,1938.6,-44.16,1103
32000,1938.95,-42.54,1103
32020,1939.32,-44.45,1104
32040,1939.68,-43.87,1107
32060,1940.03,-41.4,1108
32080,1940.48,-41.72,1109
32100,1940.9,-41.23,1111
32120,1941.39,-42.79,1111
32140,1941.84,-40.5,1113
32160,1942.31,-41.06,1116
32180,1942.82,-40.69,1117
32200,1943.31,-40.85,1118
32220,1943.82,-40.59,1119
32240,1944.26,-39.86,1120
32260,1944.73,-40.34,1122
32280,1945.23,-40.7,1122
32300,1945.83,-40.51,1123
32320,1946.41,-40.7,1123
32340,1946.96,-40.42,1124
32360,1947.49,-40.44,1126
32380,1948.01,-39.83,1129
32400,1948.59,-39.04,1129
32420,1949.2,-40.38,1130
32440,1949.79,-39.61,1130
32460,1950.41,-38.81,1130
32480,1951.02,-38.91,1131
32500,1951.65,-40.14,1132
32520,1952.12,-42.38,1132
32540,1952.45,-43.82,1133
32560,1952.71,-43.57,1134
32580,1953,-44.14,1135
32600,1953.27,-43.77,1136
32620,1953.58,-43.67,1139
32640,1953.92,-43.3,1140
32660,1954.26,-44.81,1141
32680,1954.58,-43.29,1143
32700,1954.82,-45.77,1145
32720,1955.1,-44.61,1146
32740,1955.38,-44.58,1149
32760,1955.67,-43.09,1151
32780,1955.96,-43.42,1155
32800,1956.25,-45.03,1157
32820,1956.53,-45.25,1159
32840,1956.82,-44.84,1161
32860,1957.11,-44.81,1163
32880,1957.42,-45.78,1164
32900,1957.72,-44.23,1166
32920,1958.02,-44.07,1168
32940,1958.28,-43.85,1169
32960,1958.57,-42.07,1169
32980,1958.85,-42.72,1171
33000,1959.16,-44.33,1171
33020,1959.46,-43.76,1172
33040,1959.76,-43.83,1172
33060,1960.01,-42.67,1173
33080,1960.25,-43.84,1173
33100,1960.55,-44.33,1174
33120,1960.82,-44.15,1175
33140,1961.07,-44.25,1176
33160,1961.35,-43.29,1177
33180,1961.65,-42.87,1179
33200,1961.91,-42.7,1181
33220,1962.23,-43.14,1182
33240,1962.49,-44.7,1184
33260,1962.76,-43.02,1185
33280,1963.03,-43.44,1187
33300,1963.32,-43.61,1188
33320,1963.61,-45.89,1190
33340,1963.95,-43.29,1190
33360,1964.3,-43.35,1191
33380,1964.62,-41.9,1192
33400,1965.14,-41.15,1192
33420,1965.64,-41.56,1193
33440,1966.18,-40.98,1194
33460,1966.73,-39.74,1195
33480,1967.27,-40.08,1195
33500,1967.79,-39.61,1196
33520,1968.38,-40.44,1196
33540,1968.97,-40.32,1197
33560,1969.54,-38.92,1199
33580,1970.1,-39.98,1200
33600,1970.7,-39.96,1201
33620,1971.23,-39.7,1202
33640,1971.75,-39.91,1203
33660,1972.32,-40.07,1204
33680,1972.97,-38.59,1206
33700,1973.59,-39.06,1209
33720,1974.16,-39.83,1210
33740,1974.55,-40.52,1212
33760,1974.91,-41.82,1215
33780,1975.29,-41.98,1217
33800,1975.62,-42.06,1220
33820,1975.97,-42.39,1221
33840,1976.34,-42.4,1222
33860,1976.65,-42.16,1224
33880,1977,-44.12,1224
33900,1977.33,-41.36,1226
33920,1977.65,-43.39,1228
33940,1977.99,-42.95,1230
33960,1978.28,-42.82,1231
33980,1978.58,-44.86,1232
34000,1978.9,-42.81,1233
34020,1979.21,-43.39,1235
34040,1979.53,-42.27,1237
34060,1979.86,-42.68,1238
34080,1980.14,-43.05,1240
34100,1980.42,-42.22,1241
34120,1980.7,-43.3,1243
34140,1981.02,-43.07,1243
34160,1981.33,-42.13,1244
34180,1981.63,-42.34,1245
34200,1981.91,-43.38,1246
34220,1982.21,-43.15,1249
34240,1982.55,-41.84,1251
34260,1982.85,-42.67,1252
34280,1983.13,-42.3,1254
34300,1983.48,-43.47,1255
34320,1983.78,-44.04,1257
34340,1984.08,-43.38,1258
34360,1984.38,-42.35,1259
34380,1984.69,-42.41,1260
34400,1984.99,-44.39,1262
34420,1985.31,-42.63,1264
34440,1985.64,-43.15,1265
34460,1986,-42.33,1267
34480,1986.32,-41.98,1268
34500,1986.56,-43.23,1269
34520,1986.87,-42.7,1270
34540,1987.14,-43.39,1271
34560,1987.43,-43.95,1272
34580,1987.71,-42.59,1274
34600,1988,-43.1,1275
34620,1988.31,-43.92,1277
34640,1988.61,-43.51,1278
34660,1988.88,-41.78,1280
34680,1989.26,-41.32,1282
34700,1989.58,-42.26,1282
34720,1989.94,-43.09,1283
34740,1990.28,-44.35,1286
34760,1990.74,-40.9,1286
34780,1991.25,-40.22,1288
34800,1991.75,-39.35,1289
34820,1992.28,-40.4,1291
34840,1992.79,-40.99,1291
34860,1993.3,-40.21,1292
34880,1993.79,-40.35,1293
34900,1994.21,-41.16,1294
34920,1994.67,-40.45,1295
34940,1995.19,-41.79,1295
34960,1995.66,-40.08,1297
34980,1996.15,-41.3,1297
35000,1996.54,-41.06,1298
35020,1997.04,-41.15,1299
35040,1997.52,-40.04,1299
35060,1998.06,-39.72,1299
35080,1998.5,-39.08,1300
35100,1999.04,-39.52,1301
35120,1999.58,-40.02,1302
35140,2000.08,-40.36,1303
35160,2000.63,-39.75,1304
35180,2001.14,-39.31,1305
35200,2001.7,-40.11,1307
35220,2002.23,-40.46,1307
35240,2002.75,-38.74,1309
35260,2003.34,-39.64,1309
35280,2003.89,-39.32,1311
35300,2004.43,-39.82,1311
35320,2005,-39.21,1312
35340,2005.55,-39.61,1314
35360,2006.09,-38.48,1315
35380,2006.65,-38.81,1316
35400,2007.16,-39.45,1317
35420,2007.75,-38.8,1318
35440,2008.32,-38.25,1319
35460,2008.88,-39.18,1320
35480,2009.44,-39.46,1321
35500,2009.93,-40.96,1321
35520,2010.33,-42.74,1323
35540,2010.7,-42.95,1324
35560,2011.04,-44.65,1324
35580,2011.36,-40.86,1325
35600,2011.65,-43.18,1326
35620,2011.94,-42.78,1326
35640,2012.23,-42.88,1328
35660,2012.49,-41.54,1330
35680,2012.82,-42.92,1330
35700,2013.11,-42.91,1332
35720,2013.43,-41.75,1333
35740,2013.71,-41.57,1336
35760,2014.03,-41.3,1337
35780,2014.28,-44.02,1338
35800,2014.58,-43.05,1338
35820,2014.88,-43.14,1340
35840,2015.18,-44.11,1342
35860,2015.47,-44.88,1344
35880,2015.75,-44.37,1347
35900,2016.04,-44.75,1348
35920,2016.33,-43.88,1349
35940,2016.6,-44.02,1351
35960,2016.91,-41.76,1352
35980,2017.22,-43.07,1353
36000,2017.51,-42.45,1355
36020,2017.8,-43.33,1355
36040,2018.1,-43.34,1356
36060,2018.37,-43.63,1358
36080,2018.69,-43.2,1360
36100,2018.98,-43.09,1361
36120,2019.27,-43.11,1362
36140,2019.55,-42.56,1364
36160,2019.82,-43.05,1365
36180,2020.11,-42.43,1366
36200,2020.42,-40.64,1368
36220,2020.7,-43.78,1369
36240,2021,-42.71,1372
36260,2021.32,-43.12,1373
36280,2021.63,-43.18,1373
36300,2021.94,-44.56,1374
36320,2022.25,-42.31,1376
36340,2022.54,-43.35,1377
36360,2022.85,-41.17,1378
36380,2023.16,-41.89,1380
36400,2023.5,-42.49,1382
36420,2023.83,-43.57,1384
36440,2024.15,-41.99,1385
36460,2024.53,-43.74,1387
36480,2024.97,-41.83,1389
36500,2025.35,-41.87,1391
36520,2025.71,-41.4,1393
36540,2026.02,-43.4,1395
36560,2026.33,-43,1396
36580,2026.66,-43.04,1397
36600,2027.03,-42.38,1398
36620,2027.43,-41.52,1400
36640,2027.78,-41.92,1401
36660,2028.17,-39.88,1402
36680,2028.6,-40.22,1403
36700,2029.03,-41.79,1403
36720,2029.47,-41.09,1403
36740,2029.9,-40.73,1403
36760,2030.34,-41.32,1404
36780,2030.75,-41.36,1404
36800,2031.2,-41.23,1405
36820,2031.65,-41.37,1406
36840,2032.15,-39.93,1407
36860,2032.67,-41.13,1408
36880,2033.18,-41.21,1410
36900,2033.57,-41.19,1411
36920,2033.93,-41.51,1412
36940,2034.33,-41.47,1412
36960,2034.74,-42.16,1412
36980,2035.18,-41.18,1413
37000,2035.62,-41.03,1413
37020,2036.05,-40.84,1413
37040,2036.52,-41.21,1414
37060,2036.96,-41.45,1415
37080,2037.39,-40.73,1416
37100,2037.8,-40.78,1416
37120,2038.23,-41.31,1417
37140,2038.66,-40.04,1419
37160,2039.16,-40.52,1419
37180,2039.68,-40.26,1420
37200,2040.22,-39.92,1420
37220,2040.77,-39.47,1420
37240,2041.31,-39.69,1420
37260,2041.83,-39.35,1421
37280,2042.36,-40.4,1421
37300,2042.92,-39.95,1422
37320,2043.46,-39.39,1423
37340,2044.01,-38.89,1425
37360,2044.54,-39.43,1425
37380,2045.05,-40.84,1425
